CoinId,Deity,Denomination,Material,Mint,FrontDescription,Portrait,Region,BackDescription,Year
RIC V Diocletian 426,Securitas,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Securitas, draped, standing left, raising right hand to head and leaning on column with left elbow, crossing legs",295
RIC V Diocletian 425,Securitas,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Securitas, draped, standing left, raising right hand to head and leaning on column with left elbow, crossing legs",295
RIC V Diocletian 424,Securitas,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Securitas, draped, standing left, raising right hand to head and leaning on column with left elbow, crossing legs",295
RIC V Diocletian 423,Salus,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Salus, draped, standing right, feeding snake held in arms",295
RIC V Diocletian 422,Salus,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, cuirassed, right, or bust of Maximian, radiate, helmeted, cuirassed, left, holding spear in right hand and shield in left hand, or bust of Maximian, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre or spear and shield or riaising right hand or holding globe, or bust of Maximian, radiate, helmeted, cuirassed, right",Maximian,Gallia,"Salus, draped, standing right, feeding snake held in arms",290|294
RIC V Diocletian 421,Salus,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, cuirassed, right, or bust of Maximian, radiate, wearing imperial mantle, left",Maximian,Gallia,"Salus, draped, standing right, feeding snake held in arms",291
RIC V Diocletian 420,Salus,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Salus, draped, standing right, feeding snake held in arms",291
RIC V Diocletian 419,Salus,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Salus, draped, standing right, feeding snake held in arms",290
RIC V Diocletian 418,Salus,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right",Maximian,Gallia,"Salus, draped, standing right, feeding snake held in arms",285
RIC V Diocletian 417,Salus,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right",Maximian,Gallia,"Salus, draped, standing right, feeding snake held in arms",285
RIC V Diocletian 416,Felicitas,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Felicitas, draped, standing left, head right, leaning on column, raising right hand to head",294
